============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:07:44 pm
  Module:                 cephalopode
  Technology libraries:   asap7sc7p5t_AO_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_INVBUF_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_OA_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_SEQ_RVT_TT_ccs_220123 1.0
                          asap7sc7p5t_SIMPLE_RVT_TT_ccs_211120 1.0
                          physical_cells 
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

          Instance                          Module                 Cell Count  Cell Area  Net Area   Total Area 
            inst_122         m_271_63_4329                                  5      5.365     1.995        7.360 
            inst_106         m_271_71_4347                                  5      5.365     1.995        7.360 
            inst_94          m_271_77_4359                                  5      5.365     1.995        7.360 
            inst_74          m_271_87_4381                                  5      5.365     1.995        7.360 
            inst_62          m_271_93_4395                                  5      5.365     1.995        7.360 
            inst_54          m_271_97_4403                                  5      5.365     1.995        7.360 
            inst_50          m_271_99_4407                                  5      5.365     1.995        7.360 
            inst_34          m_271_107_4189                                 5      5.365     1.995        7.360 
            inst_226         m_271_11_4195                                  5      5.132     1.995        7.127 
            inst_224         m_271_12_4213                                  5      5.132     1.995        7.127 
            inst_216         m_271_16_4221                                  5      5.132     1.995        7.127 
            inst_194         m_271_27_4245                                  5      5.132     1.995        7.127 
            inst_192         m_271_28_4247                                  5      5.132     1.995        7.127 
            inst_184         m_271_32_4257                                  5      5.132     1.995        7.127 
            inst_162         m_271_43_4285                                  5      5.132     1.995        7.127 
            inst_160         m_271_44_4287                                  5      5.132     1.995        7.127 
            inst_154         m_271_47_4293                                  5      5.132     1.995        7.127 
            inst_152         m_271_48_4295                                  5      5.132     1.995        7.127 
            inst_130         m_271_59_4319                                  5      5.132     1.995        7.127 
            inst_128         m_271_60_4323                                  5      5.132     1.995        7.127 
            inst_120         m_271_64_4331                                  5      5.132     1.995        7.127 
            inst_104         m_271_72_4349                                  5      5.132     1.995        7.127 
            inst_102         m_271_73_4351                                  5      5.132     1.995        7.127 
            inst_100         m_271_74_4353                                  5      5.132     1.995        7.127 
            inst_92          m_271_78_4361                                  5      5.132     1.995        7.127 
            inst_86          m_271_81_4369                                  5      5.132     1.995        7.127 
            inst_84          m_271_82_4371                                  5      5.132     1.995        7.127 
            inst_82          m_271_83_4373                                  5      5.132     1.995        7.127 
            inst_80          m_271_84_4375                                  5      5.132     1.995        7.127 
            inst_72          m_271_88_4383                                  5      5.132     1.995        7.127 
            inst_70          m_271_89_4385                                  5      5.132     1.995        7.127 
            inst_68          m_271_90_4389                                  5      5.132     1.995        7.127 
            inst_60          m_271_94_4397                                  5      5.132     1.995        7.127 
            inst_52          m_271_98_4405                                  5      5.132     1.995        7.127 
            inst_48          m_271_100_4175                                 5      5.132     1.995        7.127 
            inst_32          m_271_108_4191                                 5      5.132     1.995        7.127 
            inst_26          m_271_111_4199                                 5      5.132     1.995        7.127 
            inst_24          m_271_112_4201                                 5      5.132     1.995        7.127 
            inst_30          m_271_109_4193                                 4      4.899     1.496        6.395 
            inst_22          m_271_113_4203                                 4      4.899     1.496        6.395 
            inst_18          m_271_115_4207                                 4      4.899     1.496        6.395 
            inst_16          m_271_116_4209                                 4      4.899     1.496        6.395 
            inst_234         m_271_7_4343                                   4      4.666     1.496        6.162 
            inst_232         m_271_8_4365                                   4      4.666     1.496        6.162 
            inst_228         m_271_10_4173                                  4      4.666     1.496        6.162 
            inst_222         m_271_13_4215                                  4      4.666     1.496        6.162 
            inst_220         m_271_14_4217                                  4      4.666     1.496        6.162 
            inst_202         m_271_23_4237                                  4      4.666     1.496        6.162 
            inst_200         m_271_24_4239                                  4      4.666     1.496        6.162 
            inst_196         m_271_26_4243                                  4      4.666     1.496        6.162 
            inst_190         m_271_29_4249                                  4      4.666     1.496        6.162 
            inst_188         m_271_30_4253                                  4      4.666     1.496        6.162 
            inst_170         m_271_39_4275                                  4      4.666     1.496        6.162 
            inst_158         m_271_45_4289                                  4      4.666     1.496        6.162 
            inst_138         m_271_55_4311                                  4      4.666     1.496        6.162 
            inst_136         m_271_56_4313                                  4      4.666     1.496        6.162 
            inst_132         m_271_58_4317                                  4      4.666     1.496        6.162 
            inst_126         m_271_61_4325                                  4      4.666     1.496        6.162 
            inst_124         m_271_62_4327                                  4      4.666     1.496        6.162 
            inst_78          m_271_85_4377                                  4      4.666     1.496        6.162 
            inst_46          m_271_101_4177                                 4      4.666     1.496        6.162 
            inst_11          m_1139_1904                                    4      4.666     1.496        6.162 
            inst_7           m_1143_1920                                    4      4.666     1.496        6.162 
            inst_248         m_271_4168                                     4      4.432     1.496        5.929 
            inst_230         m_271_9_4387                                   4      4.432     1.496        5.929 
            inst_214         m_271_17_4223                                  4      4.432     1.496        5.929 
            inst_212         m_271_18_4225                                  4      4.432     1.496        5.929 
            inst_210         m_271_19_4227                                  4      4.432     1.496        5.929 
            inst_208         m_271_20_4231                                  4      4.432     1.496        5.929 
            inst_198         m_271_25_4241                                  4      4.432     1.496        5.929 
            inst_182         m_271_33_4259                                  4      4.432     1.496        5.929 
            inst_180         m_271_34_4261                                  4      4.432     1.496        5.929 
            inst_178         m_271_35_4263                                  4      4.432     1.496        5.929 
            inst_176         m_271_36_4269                                  4      4.432     1.496        5.929 
            inst_168         m_271_40_4279                                  4      4.432     1.496        5.929 
            inst_166         m_271_41_4281                                  4      4.432     1.496        5.929 
            inst_164         m_271_42_4283                                  4      4.432     1.496        5.929 
            inst_156         m_271_46_4291                                  4      4.432     1.496        5.929 
            inst_150         m_271_49_4297                                  4      4.432     1.496        5.929 
            inst_148         m_271_50_4301                                  4      4.432     1.496        5.929 
            inst_146         m_271_51_4303                                  4      4.432     1.496        5.929 
            inst_144         m_271_52_4305                                  4      4.432     1.496        5.929 
            inst_134         m_271_57_4315                                  4      4.432     1.496        5.929 
            inst_118         m_271_65_4333                                  4      4.432     1.496        5.929 
            inst_116         m_271_66_4335                                  4      4.432     1.496        5.929 
            inst_114         m_271_67_4337                                  4      4.432     1.496        5.929 
            inst_112         m_271_68_4339                                  4      4.432     1.496        5.929 
            inst_108         m_271_70_4345                                  4      4.432     1.496        5.929 
            inst_76          m_271_86_4379                                  4      4.432     1.496        5.929 
            inst_42          m_271_103_4181                                 4      4.432     1.496        5.929 
            inst_40          m_271_104_4183                                 4      4.432     1.496        5.929 
            inst_38          m_271_105_4185                                 4      4.432     1.496        5.929 
            inst_36          m_271_106_4187                                 4      4.432     1.496        5.929 
            inst_28          m_271_110_4197                                 4      4.432     1.496        5.929 
            inst_20          m_271_114_4205                                 4      4.432     1.496        5.929 
            inst_8           m_1142_1918                                    4      4.432     1.496        5.929 
            inst_14          m_271_117_4211                                 3      4.199     0.998        5.197 
            inst_246         m_271_1_4171                                   3      3.966     0.998        4.963 
            inst_236         m_271_6_4321                                   3      3.966     0.998        4.963 
            inst_206         m_271_21_4233                                  3      3.966     0.998        4.963 
            inst_204         m_271_22_4235                                  3      3.966     0.998        4.963 
            inst_174         m_271_37_4271                                  3      3.966     0.998        4.963 
            inst_142         m_271_53_4307                                  3      3.966     0.998        4.963 
            inst_140         m_271_54_4309                                  3      3.966     0.998        4.963 
            inst_110         m_271_69_4341                                  3      3.966     0.998        4.963 
            inst_10          m_1140_1914                                    3      3.966     0.998        4.963 
            inst_9           m_1141_1916                                    3      3.966     0.998        4.963 
            inst_6           m_1144_1922                                    3      3.966     0.998        4.963 
            inst_5           m_1145_1924                                    3      3.966     0.998        4.963 
            inst_4           m_1146_1926                                    3      3.966     0.998        4.963 
            inst_3           m_1147_1928                                    3      3.966     0.998        4.963 
            inst_244         m_271_2_4229                                   3      3.732     0.998        4.730 
            inst_242         m_271_3_4251                                   3      3.732     0.998        4.730 
            inst_240         m_271_4_4277                                   3      3.732     0.998        4.730 
            inst_172         m_271_38_4273                                  3      3.732     0.998        4.730 
            inst_44          m_271_102_4179                                 3      3.732     0.998        4.730 
            inst_238         m_271_5_4299                                   2      3.266     0.499        3.765 
            inst_2           m_262_4014                                     2      3.266     0.499        3.765 
          inst_132           m_1150                                       672    775.889   271.324     1047.214 
            inst_310         m_271_96                                       6      5.832     2.494        8.326 
            inst_307         m_271_95                                       6      5.832     2.494        8.326 
