============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_328              3     0.226      0.000      0.226 
            inst_25               3     0.226      0.000      0.226 
            inst_31               3     0.226      0.000      0.226 
            inst_34               3     0.226      0.000      0.226 
            inst_15               3     0.225      0.000      0.225 
            inst_7                3     0.211      0.000      0.211 
            inst_136              3     0.211      0.000      0.211 
            inst_28               3     0.211      0.000      0.211 
            inst_337              4     0.207      0.000      0.207 
            inst_364              4     0.207      0.000      0.207 
            inst_229              3     0.203      0.000      0.203 
            inst_85               3     0.202      0.000      0.202 
            inst_133              3     0.202      0.000      0.202 
            inst_169              4     0.198      0.000      0.198 
            inst_175              4     0.198      0.000      0.198 
            inst_178              4     0.198      0.000      0.198 
            inst_157              4     0.198      0.000      0.198 
            inst_373              3     0.191      0.000      0.191 
            inst_145              4     0.183      0.000      0.183 
            inst_172              4     0.183      0.000      0.183 
            inst_37               2     0.172      0.000      0.172 
            inst_181              3     0.145      0.000      0.145 
            inst_2                1     0.131      0.000      0.131 
            inst_4                1     0.125      0.000      0.125 
            inst_6                1     0.125      0.000      0.125 
            inst_8                1     0.125      0.000      0.125 
            inst_10               1     0.125      0.000      0.125 
            inst_12               1     0.125      0.000      0.125 
            inst_14               1     0.125      0.000      0.125 
            inst_16               1     0.125      0.000      0.125 
            inst_18               1     0.125      0.000      0.125 
            inst_20               1     0.125      0.000      0.125 
            inst_23               1     0.125      0.000      0.125 
            inst_26               1     0.125      0.000      0.125 
            inst_29               1     0.125      0.000      0.125 
            inst_32               1     0.125      0.000      0.125 
            inst_35               1     0.125      0.000      0.125 
            inst_38               1     0.125      0.000      0.125 
            inst_41               1     0.125      0.000      0.125 
            inst_44               1     0.125      0.000      0.125 
            inst_47               1     0.125      0.000      0.125 
            inst_50               1     0.125      0.000      0.125 
            inst_53               1     0.125      0.000      0.125 
            inst_56               1     0.125      0.000      0.125 
            inst_59               1     0.125      0.000      0.125 
            inst_62               1     0.125      0.000      0.125 
            inst_65               1     0.125      0.000      0.125 
            inst_68               1     0.125      0.000      0.125 
            inst_71               1     0.125      0.000      0.125 
            inst_74               1     0.125      0.000      0.125 
            inst_77               1     0.125      0.000      0.125 
            inst_80               1     0.125      0.000      0.125 
            inst_83               1     0.125      0.000      0.125 
            inst_86               1     0.125      0.000      0.125 
            inst_89               1     0.125      0.000      0.125 
            inst_92               1     0.125      0.000      0.125 
            inst_95               1     0.125      0.000      0.125 
            inst_98               1     0.125      0.000      0.125 
            inst_101              1     0.125      0.000      0.125 
            inst_104              1     0.125      0.000      0.125 
            inst_107              1     0.125      0.000      0.125 
            inst_110              1     0.125      0.000      0.125 
            inst_113              1     0.125      0.000      0.125 
            inst_116              1     0.125      0.000      0.125 
            inst_119              1     0.125      0.000      0.125 
            inst_122              1     0.125      0.000      0.125 
            inst_125              1     0.125      0.000      0.125 
            inst_128              1     0.125      0.000      0.125 
            inst_131              1     0.125      0.000      0.125 
            inst_134              1     0.125      0.000      0.125 
            inst_137              1     0.125      0.000      0.125 
            inst_140              1     0.125      0.000      0.125 
            inst_143              1     0.125      0.000      0.125 
            inst_146              1     0.125      0.000      0.125 
            inst_149              1     0.125      0.000      0.125 
            inst_152              1     0.125      0.000      0.125 
            inst_155              1     0.125      0.000      0.125 
            inst_158              1     0.125      0.000      0.125 
            inst_161              1     0.125      0.000      0.125 
            inst_164              1     0.125      0.000      0.125 
            inst_167              1     0.125      0.000      0.125 
            inst_170              1     0.125      0.000      0.125 
            inst_173              1     0.125      0.000      0.125 
            inst_176              1     0.125      0.000      0.125 
            inst_179              1     0.125      0.000      0.125 
            inst_182              1     0.125      0.000      0.125 
